num,A0,A1,A2,A3,x,y,z,label
0,1016.931217,4782.857143,4552.962963,6298.994709,50,50,88,1
1,1338.424658,4920.136986,4109.178082,5943.561644,50,100,88,1
2,1783.79085,5033.464052,3605.882353,5619.150327,50,150,88,1
3,2253.617021,5218.56383,3085.159574,5322.819149,50,200,88,1
4,2727.142857,5370.285714,2600.142857,5033.238095,50,250,88,1
5,3212.8,5665.2,2149.911111,4832.577778,50,300,88,1
6,3764.530612,5958.285714,1699.387755,4635.020408,50,350,88,1
7,4236.472868,6332.51938,1286.24031,4486.046512,50,400,88,1
8,4728.550725,6657.439614,1019.806763,4403.381643,50,450,88,1
9,4805.904255,6260.425532,1296.382979,3962.340426,100,450,88,1
10,4343.461538,5914.230769,1567.884615,3976.778846,100,400,88,1
11,3849.636364,5580.136364,1882.636364,4141.363636,100,350,88,1
12,3345.263158,5268.815789,2300.131579,4344.144737,100,300,88,1
13,2887.876712,4925.684932,2772.739726,4612.123288,100,250,88,1
14,2360.48,4751.52,3241.44,4925.36,100,200,88,1
15,1989.901961,4569.068627,3763.039216,5220.392157,100,150,88,1
16,1609.425676,4375.608108,4208.175676,5590.067568,100,100,88,1
17,1366.899225,4304.96124,4657.751938,5969.806202,100,50,88,1
18,1776.685393,3821.910112,4816.741573,5619.269663,150,50,88,1
19,2049.3125,3881.6875,4352.75,5240.5625,150,100,88,1
20,2319.122807,4066.140351,3909.473684,4865.672515,150,150,88,1
21,2681.550388,4300.542636,3463.023256,4537.984496,150,200,88,1
22,3058.80597,4569.776119,3014.626866,4210.074627,150,250,88,1
23,3518.809524,4907.857143,2598.968254,3874.444444,150,300,88,1
24,3984.172662,5211.223022,2259.640288,3719.71223,150,350,88,1
25,4473.558282,5656.134969,1932.883436,3587.361963,150,400,88,1
26,4931.822917,5978.020833,1753.28125,3449.375,150,450,88,1
27,5086.271186,5707.740113,2177.231638,2956.723164,200,450,88,1
28,4688.691589,5314.766355,2360.093458,3109.439252,200,400,88,1
29,4251.8,4945.333333,2632.933333,3285.066667,200,350,88,1
30,3817.916667,4306.011905,3125.595238,3553.154762,200,300,88,1
