,A0,A1,A2,A3,x,y,z,label
0,1016.931216931217,4782.857142857143,4552.962962962963,6298.994708994709,50,50,88,1
1,1338.424657534247,4920.13698630137,4109.178082191781,5943.561643835616,50,100,88,1
2,1783.790849673203,5033.464052287582,3605.882352941177,5619.150326797386,50,150,88,1
3,2253.617021276596,5218.563829787234,3085.159574468085,5322.81914893617,50,200,88,1
4,2727.142857142857,5370.285714285715,2600.142857142857,5033.238095238095,50,250,88,1
5,3212.8,5665.2,2149.911111111111,4832.577777777778,50,300,88,1
6,3764.530612244898,5958.285714285715,1699.387755102041,4635.020408163266,50,350,88,1
7,4236.472868217054,6332.519379844961,1286.240310077519,4486.046511627907,50,400,88,1
8,4728.550724637681,6657.43961352657,1019.806763285024,4403.381642512078,50,450,88,1
9,4805.904255319149,6260.425531914893,1296.382978723404,3962.340425531915,100,450,88,1
10,4343.461538461538,5914.23076923077,1567.884615384615,3976.778846153846,100,400,88,1
11,3849.636363636364,5580.136363636364,1882.636363636364,4141.363636363636,100,350,88,1
12,3345.263157894737,5268.815789473684,2300.131578947368,4344.144736842105,100,300,88,1
13,2887.876712328767,4925.684931506849,2772.739726027397,4612.123287671233,100,250,88,1
14,2360.48,4751.52,3241.44,4925.36,100,200,88,1
15,1989.901960784314,4569.068627450981,3763.039215686274,5220.392156862745,100,150,88,1
16,1609.425675675676,4375.608108108108,4208.175675675676,5590.067567567567,100,100,88,1
17,1366.899224806202,4304.961240310077,4657.751937984496,5969.806201550387,100,50,88,1
18,1776.685393258427,3821.910112359551,4816.741573033708,5619.269662921349,150,50,88,1
19,2049.3125,3881.6875,4352.75,5240.5625,150,100,88,1
20,2319.122807017544,4066.140350877193,3909.473684210526,4865.672514619883,150,150,88,1
21,2681.550387596899,4300.542635658915,3463.023255813954,4537.984496124031,150,200,88,1
22,3058.805970149254,4569.776119402985,3014.626865671642,4210.074626865671,150,250,88,1
23,3518.809523809524,4907.857142857143,2598.968253968254,3874.444444444444,150,300,88,1
24,3984.172661870504,5211.223021582734,2259.640287769784,3719.712230215827,150,350,88,1
25,4473.558282208589,5656.134969325153,1932.883435582822,3587.361963190184,150,400,88,1
26,4931.822916666667,5978.020833333333,1753.28125,3449.375,150,450,88,1
27,5086.271186440678,5707.74011299435,2177.231638418079,2956.723163841808,200,450,88,1
28,4688.691588785046,5314.766355140187,2360.093457943925,3109.439252336449,200,400,88,1
29,4251.8,4945.333333333333,2632.933333333333,3285.066666666667,200,350,88,1
30,3817.916666666667,4306.011904761905,3125.595238095238,3553.154761904762,200,300,88,1
31,3355.783783783784,3955.189189189189,3531.891891891892,3870.972972972973,200,250,88,1
32,3020.153846153846,3630.871794871795,3950.666666666667,4229.282051282052,200,200,88,1
33,2701.897810218978,3379.48905109489,4386.496350364963,4557.226277372263,200,150,88,1
34,2431.229050279329,3178.715083798882,4811.005586592179,4955.754189944134,200,100,88,1
35,2239.933110367893,3051.739130434783,5259.665551839465,5383.678929765886,200,50,88,1
36,2702.71523178808,2584.701986754967,5512.317880794702,5128.476821192053,250,50,88,1
37,2893.251533742332,2716.38036809816,5045.521472392638,4705.705521472392,250,100,88,1
